255,96,65,287,33,319,65,351
96,65,287,33,319,65,351,97
65,287,33,319,65,351,97,320
287,33,319,65,351,97,320,319
33,319,65,351,97,320,319,64
319,65,351,97,320,319,64,129
65,351,97,320,319,64,129,255
351,97,320,319,64,129,255,129
97,320,319,64,129,255,129,223
320,319,64,129,255,129,223,32
319,64,129,255,129,223,32,32
64,129,255,129,223,32,32,96
129,255,129,223,32,32,96,256
255,129,223,32,32,96,256,32
129,223,32,32,96,256,32,129
223,32,32,96,256,32,129,223
32,32,96,256,32,129,223,32
32,96,256,32,129,223,32,32
96,256,32,129,223,32,32,65
256,32,129,223,32,32,65,255
32,129,223,32,32,65,255,32
129,223,32,32,65,255,32,97
223,32,32,65,255,32,97,255
32,32,65,255,32,97,255,32
32,65,255,32,97,255,32,32
65,255,32,97,255,32,32,64
255,32,97,255,32,32,64,33
32,97,255,32,32,64,33,223
97,255,32,32,64,33,223,30
255,32,32,64,33,223,30,354
32,32,64,33,223,30,354,32
32,64,33,223,30,354,32,129
64,33,223,30,354,32,129,223
33,223,30,354,32,129,223,97
223,30,354,32,129,223,97,319
30,354,32,129,223,97,319,129
354,32,129,223,97,319,129,255
32,129,223,97,319,129,255,32
129,223,97,319,129,255,32,33
223,97,319,129,255,32,33,257
